Date,Campaign,Channel,Audience_Segment,Budget,Impressions,Clicks,Conversions,Cost_Per_Click,Cost_Per_Conversion,Conversion_Rate,Revenue_Generated,ROI,CTR,Brand_Awareness_Lift,Engagement_Rate
2024-10-01,Holiday_Launch,Google_Ads,Gen_Z,25000,450000,12500,450,2.00,55.56,3.6,67500,2.7,2.78,12.5,4.2
2024-10-01,Black_Friday_Prep,Facebook_Ads,Millennials,18000,320000,8900,320,2.02,56.25,3.6,48000,2.67,2.78,15.2,6.8
2024-10-02,Product_Demo,LinkedIn_Ads,B2B_Decision_Makers,35000,180000,3200,180,10.94,194.44,5.6,36000,1.03,1.78,8.3,2.1
2024-10-03,Retargeting_Campaign,Meta_Ads,Previous_Visitors,12000,280000,9800,420,1.22,28.57,4.3,63000,5.25,3.5,18.7,8.9
2024-10-04,Influencer_Collab,Instagram_Ads,Fashion_Enthusiasts,22000,520000,18200,650,1.21,33.85,3.6,97500,4.43,3.5,22.1,12.4
2024-10-05,Email_Newsletter,Email_Marketing,Subscribers,3500,45000,4500,315,0.78,11.11,7.0,47250,13.5,10.0,5.2,25.6
2024-10-08,YouTube_Pre_Roll,YouTube_Ads,Video_Consumers,28000,680000,15300,380,1.83,73.68,2.5,57000,2.04,2.25,16.8,3.2
2024-10-09,TikTok_Challenge,TikTok_Ads,Gen_Z,15000,890000,35600,890,0.42,16.85,2.5,133500,8.9,4.0,35.2,18.7
2024-10-10,Podcast_Sponsorship,Podcast_Ads,Tech_Enthusiasts,8000,25000,1200,85,6.67,94.12,7.1,12750,1.59,4.8,12.3,8.9
2024-10-11,Search_Campaign,Google_Search,High_Intent,45000,220000,22000,1100,2.05,40.91,5.0,165000,3.67,10.0,8.1,15.2
2024-10-12,Display_Retargeting,Display_Network,Cart_Abandoners,16000,350000,14000,560,1.14,28.57,4.0,84000,5.25,4.0,14.2,9.8
2024-10-15,Brand_Awareness,Twitter_Ads,Tech_Twitter,20000,480000,9600,240,2.08,83.33,2.5,36000,1.8,2.0,28.4,6.2
2024-10-16,Conversion_Focus,Pinterest_Ads,Home_Decor,13000,290000,8700,435,1.49,29.89,5.0,65250,5.02,3.0,11.8,7.3
2024-10-17,Lookalike_Audience,Facebook_Ads,Similar_to_Customers,19000,380000,11400,570,1.67,33.33,5.0,85500,4.5,3.0,19.6,8.1
2024-10-18,Local_Campaign,Google_Local,Geographic_Target,11000,150000,7500,300,1.47,36.67,4.0,45000,4.09,5.0,22.1,11.2
2024-10-19,Video_Marketing,Facebook_Video,Engagement_Focused,24000,620000,31000,775,0.77,30.97,2.5,116250,4.84,5.0,26.8,14.6
2024-10-22,Competitor_Conquest,Google_Ads,Competitor_Keywords,32000,200000,8000,320,4.00,100.00,4.0,48000,1.5,4.0,9.2,5.8
2024-10-23,Holiday_Urgency,Multi_Channel,All_Segments,55000,950000,47500,1425,1.16,38.60,3.0,213750,3.89,5.0,18.7,12.3
2024-10-24,Flash_Sale,Email_SMS,VIP_Customers,8000,35000,7000,525,1.14,15.24,7.5,78750,9.84,20.0,8.4,35.2
2024-10-25,Mobile_Push,App_Push,Mobile_Users,5000,80000,8000,400,0.63,12.50,5.0,60000,12.0,10.0,12.1,28.9
2024-10-26,Affiliate_Program,Affiliate_Network,Deal_Seekers,18000,420000,21000,840,0.86,21.43,4.0,126000,7.0,5.0,15.3,18.2
2024-10-29,Pre_Black_Friday,Omnichannel,All_Segments,75000,1200000,84000,2520,0.89,29.76,3.0,378000,5.04,7.0,24.6,16.8
2024-10-30,Last_Chance,Urgent_Channels,High_Value,42000,680000,40800,1360,1.03,30.88,3.3,204000,4.86,6.0,19.8,22.1
2024-10-31,Halloween_Special,Social_Media,Millennials_Gen_Z,28000,750000,52500,1575,0.53,17.78,3.0,236250,8.44,7.0,31.2,26.4
