Date,Department,KPI_Name,Target_Value,Actual_Value,Variance_Percent,Trend_Direction,Risk_Level,Action_Required,Owner,Budget_Allocated,Budget_Spent,ROI_Percent,Customer_Impact,Strategic_Priority
2024-10-01,Sales,Revenue,12500000,13125000,5.0,Up,Low,Continue,John_Smith,2500000,2350000,558.5,High,Critical
2024-10-01,Sales,New_Customers,2500,2750,10.0,Up,Low,Accelerate,Sarah_Johnson,500000,485000,566.5,High,Critical
2024-10-01,Marketing,CAC,125.0,118.5,-5.2,Down,Low,Optimize,Mike_Chen,1500000,1425000,921.1,Medium,High
2024-10-01,Marketing,Brand_Awareness,65.0,68.2,4.9,Up,Low,Continue,Lisa_Wang,800000,775000,881.3,High,High
2024-10-01,Product,Feature_Releases,12,14,16.7,Up,Low,Continue,David_Kim,2000000,1950000,673.8,High,Critical
2024-10-01,Product,User_Satisfaction,8.5,8.8,3.5,Up,Low,Continue,Emma_Rodriguez,300000,285000,3088.4,Very_High,Critical
2024-10-01,Operations,Cost_Efficiency,85.0,87.2,2.6,Up,Low,Continue,Alex_Thompson,1000000,920000,1426.1,Medium,Medium
2024-10-01,Operations,Process_Automation,70.0,75.5,7.9,Up,Low,Accelerate,Nina_Patel,750000,680000,1926.5,Medium,High
2024-10-01,Customer_Success,Retention_Rate,92.0,94.5,2.7,Up,Low,Continue,Carlos_Lopez,600000,580000,2262.1,Very_High,Critical
2024-10-01,Customer_Success,NPS_Score,45.0,48.2,7.1,Up,Low,Continue,Rachel_Kim,400000,385000,2501.3,Very_High,Critical
2024-10-02,Sales,Revenue,12500000,13250000,6.0,Up,Low,Continue,John_Smith,2500000,2365000,560.2,High,Critical
2024-10-02,Sales,New_Customers,2500,2820,12.8,Up,Low,Accelerate,Sarah_Johnson,500000,490000,575.5,High,Critical
2024-10-02,Marketing,CAC,125.0,117.2,-6.2,Down,Low,Optimize,Mike_Chen,1500000,1435000,923.4,Medium,High
2024-10-02,Marketing,Brand_Awareness,65.0,68.8,5.8,Up,Low,Continue,Lisa_Wang,800000,780000,882.1,High,High
2024-10-02,Product,Feature_Releases,12,15,25.0,Up,Low,Continue,David_Kim,2000000,1965000,674.8,High,Critical
2024-10-02,Product,User_Satisfaction,8.5,8.9,4.7,Up,Low,Continue,Emma_Rodriguez,300000,290000,3068.3,Very_High,Critical
2024-10-02,Operations,Cost_Efficiency,85.0,87.8,3.3,Up,Low,Continue,Alex_Thompson,1000000,925000,1432.4,Medium,Medium
2024-10-02,Operations,Process_Automation,70.0,76.2,8.9,Up,Low,Accelerate,Nina_Patel,750000,685000,1935.8,Medium,High
2024-10-02,Customer_Success,Retention_Rate,92.0,94.8,3.0,Up,Low,Continue,Carlos_Lopez,600000,585000,2270.1,Very_High,Critical
2024-10-02,Customer_Success,NPS_Score,45.0,48.8,8.4,Up,Low,Continue,Rachel_Kim,400000,390000,2512.8,Very_High,Critical
2024-10-03,Sales,Revenue,12500000,13375000,7.0,Up,Low,Continue,John_Smith,2500000,2380000,562.2,High,Critical
2024-10-03,Sales,New_Customers,2500,2890,15.6,Up,Low,Accelerate,Sarah_Johnson,500000,495000,584.8,High,Critical
2024-10-03,Marketing,CAC,125.0,116.0,-7.2,Down,Low,Optimize,Mike_Chen,1500000,1445000,925.9,Medium,High
2024-10-03,Marketing,Brand_Awareness,65.0,69.4,6.8,Up,Low,Continue,Lisa_Wang,800000,785000,883.4,High,High
2024-10-03,Product,Feature_Releases,12,16,33.3,Up,Low,Continue,David_Kim,2000000,1980000,675.8,High,Critical
2024-10-03,Product,User_Satisfaction,8.5,9.0,5.9,Up,Low,Continue,Emma_Rodriguez,300000,295000,3050.8,Very_High,Critical
2024-10-03,Operations,Cost_Efficiency,85.0,88.4,4.0,Up,Low,Continue,Alex_Thompson,1000000,930000,1438.7,Medium,Medium
2024-10-03,Operations,Process_Automation,70.0,77.0,10.0,Up,Low,Accelerate,Nina_Patel,750000,690000,1945.7,Medium,High
2024-10-03,Customer_Success,Retention_Rate,92.0,95.1,3.4,Up,Low,Continue,Carlos_Lopez,600000,590000,2278.5,Very_High,Critical
2024-10-03,Customer_Success,NPS_Score,45.0,49.4,9.8,Up,Low,Continue,Rachel_Kim,400000,395000,2524.6,Very_High,Critical
